epoch,train_loss,val_dice_neg,val_dice_pos,lr,time_sec,val_dice_pos_target
97,1.309949,-1.000000,-1.000000,0.000097,904.38,0.422962
98,1.309000,-1.000000,-1.000000,0.000097,904.41,0.427254
99,1.328975,-1.000000,-1.000000,0.000097,904.63,0.431453
100,1.308315,0.999947,0.157915,0.000097,986.87,0.435554
101,1.305655,-1.000000,-1.000000,0.000097,904.00,0.439557
102,1.287565,-1.000000,-1.000000,0.000097,904.17,0.443458
103,1.326868,-1.000000,-1.000000,0.000097,904.35,0.447254
104,1.309074,-1.000000,-1.000000,0.000097,904.36,0.450942
105,1.326892,0.999923,0.133356,0.000096,987.20,0.454520
106,1.294093,-1.000000,-1.000000,0.000096,903.74,0.457984
107,1.290685,-1.000000,-1.000000,0.000096,904.58,0.461333
108,1.269129,-1.000000,-1.000000,0.000096,904.12,0.464563
109,1.294880,-1.000000,-1.000000,0.000096,904.49,0.467671
110,1.337167,0.999917,0.148812,0.000096,986.99,0.470655
111,1.274393,-1.000000,-1.000000,0.000096,903.88,0.473512
112,1.293719,-1.000000,-1.000000,0.000095,904.36,0.476239
113,1.304455,-1.000000,-1.000000,0.000095,904.41,0.478833
114,1.309220,-1.000000,-1.000000,0.000095,904.42,0.481291
115,1.282493,0.999961,0.164664,0.000095,986.90,0.483611
116,1.289476,-1.000000,-1.000000,0.000095,904.09,0.485790
117,1.303440,-1.000000,-1.000000,0.000095,904.32,0.487825
118,1.311238,-1.000000,-1.000000,0.000095,904.39,0.489713
119,1.314642,-1.000000,-1.000000,0.000094,904.31,0.491452
120,1.294950,0.999959,0.148370,0.000094,987.03,0.493038
121,1.181537,-1.000000,-1.000000,0.000094,904.30,0.494470
122,1.116473,-1.000000,-1.000000,0.000094,904.01,0.495743
123,1.113011,-1.000000,-1.000000,0.000094,903.90,0.496856
124,1.080607,-1.000000,-1.000000,0.000094,904.20,0.497805
125,1.054636,0.999937,0.150718,0.000093,987.20,0.498588
126,1.074541,-1.000000,-1.000000,0.000093,903.81,0.499201
127,1.066119,-1.000000,-1.000000,0.000093,904.40,0.499643
128,1.073058,-1.000000,-1.000000,0.000093,904.51,0.499910
129,1.060274,-1.000000,-1.000000,0.000093,904.37,0.500000
